iter	Passed	Remaining
0	0	106
1	1	96
2	1	91
3	2	85
4	2	83
5	3	83
6	4	83
7	4	82
8	5	82
9	5	81
10	6	79
11	6	79
12	7	77
13	7	75
14	8	74
15	8	74
16	9	73
17	9	73
18	10	72
19	10	71
20	11	70
21	12	71
22	12	71
23	13	71
24	13	71
25	14	70
26	15	69
27	15	68
28	16	67
29	16	67
30	16	66
31	17	66
32	18	66
33	19	65
34	19	65
35	20	64
36	20	64
37	21	63
38	21	62
39	22	62
40	22	62
41	23	61
42	24	61
43	24	60
44	24	59
45	25	58
46	25	57
47	26	56
48	26	55
49	27	55
50	27	54
51	28	54
52	28	53
53	29	52
54	29	51
55	29	51
56	30	50
57	30	49
58	31	49
59	31	48
60	31	47
61	32	47
62	33	46
63	33	46
64	34	45
65	34	44
66	34	44
67	35	43
68	35	43
69	36	42
70	36	41
71	37	41
72	37	40
73	37	40
74	38	39
75	38	38
76	39	38
77	39	37
78	40	37
79	40	36
80	41	36
81	41	35
82	42	35
83	43	34
84	43	34
85	44	33
86	44	33
87	45	32
88	45	32
89	45	31
90	46	31
91	46	30
92	47	30
93	47	29
94	48	29
95	48	28
96	49	27
97	49	27
98	49	26
99	50	26
100	50	25
101	51	25
102	51	24
103	52	24
104	52	23
105	53	23
106	53	22
107	54	22
108	54	21
109	55	21
110	55	20
111	56	20
112	56	19
113	57	19
114	57	18
115	58	18
116	58	17
117	58	16
118	59	16
119	59	15
120	60	15
121	60	14
122	61	14
123	61	13
124	62	13
125	62	12
126	63	12
127	63	11
128	64	11
129	64	10
130	65	10
131	65	9
132	65	9
133	66	8
134	66	8
135	67	7
136	67	7
137	68	6
138	68	6
139	69	5
140	69	5
141	69	4
142	70	4
143	70	3
144	71	3
145	72	2
146	72	2
147	73	1
148	73	1
149	74	0
150	74	0
151	74	0
